ocena,ime,alkohol,kategorija,cena,opis,ocenjevalec,cas_ocene
60,Woodford Reserve Master’s Collection Five Malt,,American Blended Whiskey,50,"Four barley types—two row, pale chocolate, kiln coffee, and Carafa—and malted wheat; aged 6 months in used Woodford Reserve Double Oaked barrels. Initial pungency and varnish. Then freshly-cut grass, petrol, wood shavings, and a slight hint of chocolate. New make mouthfeel. A hint of honey and milk chocolate is quickly overtaken by an astringent finish. In another few years, maybe this will become more palatable, but this is far from ready, and bourbon remains this distiller’s strong suit. 375ml",Fred Minnick,Fall 2016
60,Cavalry,45.0,Bourbon/Tennessee,30,"Although it’s not on the label, Cavalry uses the TerrePURE technology on 4 month old MGP whiskey. Its short time in wood shows. No traditional notes of bourbon sweetness, not even an earthy hint of wood found in many younger bourbons. This is more reminiscent of a neutral grain spirit than bourbon, but masked in the alcohol-centric flavor is a slight sweetness likely representing oak and a hint of grain. Sourced whiskey.",Fred Minnick,Spring 2016
65,Chinook Limited Edition Signature Rye Whisky,,Canadian,17,"With its overt floral perfume notes and the scent of children’s powdered candy, this whisky is difficult to enjoy. Its unctuous artificial flavors are equally unsuitable for cocktails, mixing, or sipping. Fruity, winey, lavender notes duke it out with baby cereal and artificial coconut. The saving graces? A late lovely bitterness, long gingery burn, and creamy body. But then jujubes, grape gum and artificial bananas kick in and it’s over.",Davin de Kergommeaux,Winter 2015
65,Iowa Legendary Rye,40.0,Craft Whiskey,35,"An unaged whiskey from Carroll County, Iowa, with rye grain and sugar mash. The nose is all kinds of barnyard funk: hay, horse, and manure. Underneath is a bite of sugar and vanilla. On the palate it’s less funky, with sugar, strawberry, and a grappa-like note. The rye spice emerges mid-palate, but it’s fleeting and leads to an edgy and fractured finish. Time in oak might help, but there are issues here that wood won’t resolve.",Geoffrey Kleinman,Summer 2015
67,American Born Dixie Sweet Tea Moonshine,,Flavored Whisky & Liqueurs,22,"This flavored moonshine smells like a mass of wet, used tea bags. Underneath is some faint lemon, honey, and black pepper, but it’s hard to get to it through the tea. Entry is strong, oversteeped tea, which only gets stronger, more tannic, and more bitter in the mid-palate. Syrupy lemon honey tries and fails to balance this oversteeped mess. Finish is long, bitter, slightly hot, and unpleasant. Do not attempt to drink without copious amounts of crushed ice.",Geoffrey Kleinman,Fall 2014
67,Southern Comfort Fiery Pepper,35.0,Flavored Whisky & Liqueurs,,"Does a nose of bright bubble gum and fresh-cut peppers touched by the fermented heat of Tabasco sound good? It comes bursting out of the glass with this one, busy and hot. The taste hits first with the bubble gum blast, sweet and light, even quickly pleasant until the pepper breaks in, twisting and warping this liqueur with a whirl of sweet, hot, bitter, vegetal flavors that turns to a sticky-sweet heat in the finish.   A regrettably bad idea.",Lew Bryson,Spring 2012
68,Freedom Moonshine Apple Pie Rye,20.0,Flavored Whisky & Liqueurs,20,"The aromas from the base rye moonshine complement the apple much better here than in Freedom’s other flavored offerings. Baked apple mixes with cinnamon and is supported by a bread undertone. The apple note comes off as just a little too artificial. Like the other Freedom Moonshine products, the entry is too soft and flat. The biggest problem here clearly is the proof. There’s just not enough structure to do anything with this moonshine: mix, ice, or otherwise enjoy.",Geoffrey Kleinman,Winter 2014
68,Southern Shine Blueberry Moonshine,50.0,Flavored Whisky & Liqueurs,16,"All of the elements that work with Southern Shine’s Apple Pie bottling don’t work with their Blueberry. An extremely evasive nose leads to an artificially-flavored palate. Here the blueberry tastes more like flavored bubblegum than fruit. The white pepper from the base spirit clashes with the berry like a multi-car pileup. The finish is hot, too dry, and a little sour. There’s just nothing about this that’s pleasant or enjoyable.",Geoffrey Kleinman,Fall 2014
69,Cabin Fever,40.0,Flavored Whisky & Liqueurs,21,"Real maple syrup has an earthy, woodsy aroma; maple flavoring has strong overtones of coconut, and so does Cabin Fever. The nose evokes dried, sweetened baking coconut, while the sweet and spicy palate is a hot, liquid, coconut macaroon. Peppery notes suggest that it’s whisky, but without any traces of barrel aging that’s as close as you get. Best part? The long, spicy finish with its confection-sweet coconut.",Davin de Kergommeaux,Summer 2014
70,Sailboat,40.0,Canadian,15,"Traces of burnt caramel add interest to an otherwise simple, overly sweet palate. A triumvirate of alcohol, chocolate toffee, and pepper. A slight bitterness is more distracting than pleasing or refreshing. Reminiscent of Aunt Jemima pancake syrup, Sailboat is just too sweet to sip solo, but adding ginger ale increases the complexity, as spirit and sweetness mingle with ginger and carbonation. It would benefit from a bit more wood. A very inexpensive whisky, though not a bargain. $20 CAD",Davin de Kergommeaux,Winter 2016
70,Jim Beam Rye,40.0,Rye Whiskey,16,"For rye whiskey drinkers, Jim Beam isn’t the name you’re usually looking for, but there’s a distinct rye nose: menthol, dill, herbs, and boiling oats. The palate is dull, lacking the up-front spice typically found in ryes, and only shows hints of vanilla, caramel, and eventually cinnamon. The extremely short finish leaves me wondering if it would fare better at a higher proof.",Fred Minnick,Spring 2016
70,American Born Apple Pie Moonshine,,Flavored Whisky & Liqueurs,22,"Spiced apple cider on the nose is a little more spice than cider, with strong cinnamon, nutmeg, and allspice. Baked apple is there on the opening, but it doesn’t take long for the spices to take over, especially the cinnamon, which dominates. The cinnamon here leans more toward Red Hots than cinnamon stick, and by the time we get to the finish, it has completely conquered this spirit. May have been better labeled Spicy Cinnamon Apple Pie Moonshine.",Geoffrey Kleinman,Fall 2014
70,Kansas Clean Distilled,40.0,Craft Whiskey,,"Clear, slight golden hue; as expected from a 7% straight whiskey/93% grain neutral spirit “spirit whiskey.” Faint nose of sweet caramel corn in a hot bloom of estery alcohol. Thickly sweet in the mouth, with barely a hint of whiskey, like a badly-made cocktail or an ill-conceived flavored vodka. While there are no glaring flaws in the make, this is simply a bad idea. Light whiskey failed once, in the 1970s, and for good reasons. Those reasons haven't changed.",Lew Bryson,Spring 2012
70,Fireball Cinnamon Whisky,33.0,Canadian,,"It does say “whisky” on the label...followed by “with natural cinnamon flavor.” It's clear from the first sniff that this is a one-trick pony: hot, fiery cinnamon. But is there whisky flavor in there? Fireball's as sweet as the liqueur proof would indicate, and as hot as advertised, and there's only a hint of whisky character under the fire. A novelty for tailgating; probably great in hot chocolate. ",Lew Bryson,Winter 2011
